2021,6,29,1792,142
2022,4,18,2571,215
2021,11,26,1398,311
2021,11,19,75,60
2022,11,3,2259,283
2020,6,25,2147,266
2021,4,2,2024,142
2022,7,18,2647,182
2022,9,16,3341,219
2021,8,9,2481,142
2021,4,2,643,142
2020,8,3,3530,69
2021,8,17,2403,142
2021,4,12,2418,226
2021,5,31,651,125
2021,6,14,2495,142
2021,8,4,3357,142
2021,8,26,651,260
2021,5,12,2024,168
2021,2,8,604,313
2022,6,4,2655,233
2022,2,20,1706,142
2021,8,25,2871,302
2020,5,18,2959,261
2022,7,19,2533,298
2020,6,2,134,266
2020,7,16,2903,233
2022,9,16,2701,287
2022,7,21,138,31
2022,5,17,3100,303
2021,3,13,3421,142
2020,7,30,2201,99
2020,8,17,1759,309
2020,7,29,2352,157
2022,8,7,795,278
2021,5,17,1985,63
2020,9,11,1613,99
2021,10,13,2348,293
2022,8,22,959,266
2020,8,18,3255,303
2021,2,18,310,15
2021,9,12,535,302
2022,6,22,2053,76
2020,12,30,1218,192
2021,5,12,1521,78
2021,7,29,55,293
2020,5,10,3540,125
2021,12,7,697,304
2022,9,7,3162,215
2021,6,19,2919,142
2022,6,30,2287,129
2021,9,3,189,103
2021,8,22,2662,70
2020,11,30,2572,304
2020,7,23,2840,130
2020,4,28,579,260
2021,7,5,2326,157
2021,5,7,128,215
2022,3,14,1339,234
2022,6,25,2284,116
2022,8,1,2809,215
2022,7,27,2427,142
2022,9,21,3537,204
2021,8,2,535,263
2021,5,27,301,116
2021,8,8,2503,260
2022,8,4,3358,216
2021,3,20,1839,130
2022,6,5,3126,48
2021,6,25,1102,60
2022,10,20,97,192
2021,9,9,2606,63
2022,7,16,2867,215
2021,5,20,2145,153
2022,1,7,925,142
2020,5,21,2821,142
2022,8,28,1150,266
2022,7,28,3048,44
2020,7,1,930,142
2022,12,4,3266,212
2020,8,5,636,125
2020,6,24,1035,207
2020,2,24,651,260
2021,7,30,310,70
2022,9,24,237,260
2021,6,7,783,142
2022,3,18,3208,271
2020,4,21,1639,215
2020,7,30,1033,116
2022,9,15,580,128
2021,12,20,651,142
2022,11,27,402,303
2020,6,30,1141,266
2021,8,15,2403,142
2020,3,1,2888,130
2021,7,1,2002,142
2021,9,20,1675,215
2021,12,11,334,192
2020,9,13,756,192
2021,3,31,140,266
2021,1,12,2599,134
2022,2,24,2244,303
2021,8,2,899,102
2022,7,27,2364,266
2022,11,2,811,192
2021,12,21,330,215
2020,10,2,2496,142
2021,3,5,2935,215
2022,4,26,1798,116
2020,5,5,3245,125
2021,5,8,1150,116
2021,10,16,2749,142
2021,5,8,282,192
2021,7,15,2893,142
